epoch,train_loss,val_loss,val_accuracy,agreement
1,18.742587152074595,0.8108578828250756,77.0,77.2
2,4.160853538356844,0.7782220051376498,76.7,76.9
3,3.3848920571999472,0.7919273463357968,76.7,76.9
4,2.925331208549562,0.7460858376143733,77.0,77.2
5,2.6915053031483636,0.7441011898990837,76.6,76.8
6,2.55776701794296,0.723376250207366,76.4,76.4
7,2.3836513112802975,0.726282168776379,77.0,77.0
8,2.2240972362580846,0.6884166577438009,77.3,77.5
9,2.032156733215832,0.7050118821389333,77.8,77.8
10,2.033278377329717,0.7045457231542969,77.6,77.8
11,1.9449850946176248,0.704044286183489,77.4,77.6
12,1.8367549884514731,0.680209741472936,78.0,78.4
13,1.737213463079734,0.6987128314376605,77.6,77.6
14,1.6782466915787244,0.7209587876041041,77.1,76.9
15,1.6175929288395117,0.7013089177617076,77.9,77.7
16,1.7235782625245266,0.6955160375837295,78.2,78.4
17,1.5933873106221683,0.6993685443303548,78.5,78.5
18,1.5232946462318546,0.7304104170561914,77.6,77.2
19,1.4411450707521596,0.7089351413324039,78.2,77.8
20,1.39977264795147,0.7073852177127264,78.6,78.4
21,1.4737812730132556,0.6945923262210272,78.6,78.8
22,1.3461311269001883,0.6913881760956428,78.8,78.8
23,1.3422271970842705,0.6657057287120551,79.0,79.2
24,1.2702523665349992,0.7062971736086183,78.6,78.6
25,1.2217205235215485,0.6939667091592128,78.4,78.2
26,1.2285233481985625,0.6865248578924366,78.8,78.6
27,1.1732492446899414,0.6704468508924037,79.0,79.0
28,1.1855592590863588,0.6764277946404036,78.7,78.7
29,1.1783599355181709,0.6722135013151274,79.2,79.2
30,1.1149287311757197,0.6836909801804723,79.0,79.0
31,1.1310108167226198,0.6878904320656147,79.0,79.2
32,1.106623659368421,0.7001098453383747,78.6,78.8
33,1.077967146381003,0.6773268730084965,79.0,79.2
34,1.0305948809522096,0.6749606116409268,79.4,79.4
35,1.043664249240375,0.6811930304211273,79.1,79.5
36,1.0092429213347982,0.6908086638268287,79.1,79.3
37,1.012449208341661,0.6792657326259359,78.8,79.2
38,0.9889596124164394,0.6846986217569793,78.8,79.2
39,1.0132183168755202,0.673137628544282,79.2,79.6
40,0.9693411061021148,0.6753666691856779,79.3,79.7
41,0.9621552468323317,0.6876445245779905,79.1,79.5
42,0.9226096448351125,0.6747914666157158,79.4,79.8
43,0.9018673457083155,0.6683091881986911,79.2,79.6
44,0.9126219561354059,0.6774712122823985,79.0,79.8
45,0.8993924973440952,0.6680206639448443,79.1,79.5
46,0.8518103243874722,0.6757710572237556,79.2,79.6
47,0.8737752850427002,0.6706064569352748,79.4,79.8
48,0.8629469776251277,0.671828257953166,79.3,79.9
49,0.851772376748382,0.67081328958011,79.1,79.9
50,0.8339453603400558,0.6828339247076656,79.0,79.8
51,0.8661837675532357,0.6849274164542294,79.2,80.0
52,0.8148041191648264,0.6776549875776254,79.3,80.1
53,0.8301758551206745,0.6887484328090068,79.2,80.0
54,0.8101028184421727,0.691814670122767,78.7,79.7
55,0.7963360826500127,0.6826580042470596,79.3,80.1
56,0.7851467208295572,0.668069440547697,79.6,80.6
57,0.7411136834836397,0.6850202997575252,79.2,80.0
58,0.7412901271562107,0.6753595383434003,79.2,80.0
59,0.7267940156772489,0.6770133533445915,79.5,80.3
60,0.7621681270052175,0.6796778853567957,79.2,80.0
61,0.7811180050255823,0.6872393420326262,79.1,79.9
62,0.770145771444821,0.6776998732857464,79.4,80.2
63,0.7231549112523188,0.6715356565255206,79.5,80.3
64,0.7289978475844274,0.6839756072022283,79.5,80.3
65,0.7394450389948047,0.6854295432203799,79.4,80.2
66,0.7298150487610551,0.6726299357487733,79.3,80.1
67,0.734579110731844,0.6670866593503888,79.5,80.3
68,0.6789830820482285,0.678533094956947,78.8,79.8
69,0.6882913664716189,0.6813636134666012,79.1,79.9
70,0.6691214989443295,0.6755304911457642,79.5,80.3
71,0.6855158732562768,0.6701615123947704,79.4,80.2
72,0.6762019266359142,0.6700666672222724,79.2,80.4
73,0.6453830765896156,0.6893383910864941,79.3,80.3
74,0.667508169764378,0.6785598469014076,79.1,80.1
75,0.6368519644268223,0.6763801689685351,79.3,80.3
76,0.657891319911988,0.679669115706929,78.9,79.9
77,0.6695607627024416,0.667689943966252,79.5,80.9
78,0.6634936723552767,0.6696335637570883,79.0,80.4
79,0.6313795405821722,0.6782223841109953,79.0,80.0
80,0.6225124460751893,0.6675235998191056,79.2,80.6
81,0.6335409347151146,0.6733529744324187,78.9,80.3
82,0.6300775985248753,0.6615607118947082,79.0,80.4
83,0.6067466413388487,0.6742743858012545,78.9,80.5
84,0.6233709019715669,0.6793756800980191,78.9,80.3
85,0.6083804359201526,0.6655828659349936,79.1,80.5
86,0.5898492082220609,0.6708486421011912,79.0,80.2
87,0.5800211521201446,0.6712947738742514,79.4,80.8
88,0.5828131017137747,0.6620543008975801,79.6,81.0
89,0.5707094390861324,0.6733722178832977,78.7,80.3
90,0.571317046880722,0.6670974222142831,79.3,80.9
91,0.5879093657751553,0.6589941697675386,79.3,80.7
92,0.580683914852924,0.673882039351156,79.3,80.7
93,0.5459097892534538,0.6668810230585223,79.3,80.5
94,0.5739113185249392,0.6614411780901719,78.8,80.6
95,0.5646651030563917,0.6649600726523204,78.8,80.4
96,0.5318182954778436,0.6737381370767253,78.9,80.5
97,0.5407131162823223,0.668435907598905,79.2,80.8
98,0.559909887978288,0.6623671991001174,79.3,80.7
99,0.5668625052346558,0.6658242685589357,79.4,81.0
100,0.5465681372118778,0.6788571368233534,78.8,80.6
